#timestamp tx ty tz qx qy qz qw
1578481030.013145 0.165503 -0.024514 0.694981 0.034520 -0.033208 -0.118101 0.991846
1578481030.114019 0.238709 -0.036437 0.663885 0.027556 -0.037076 -0.098203 0.994094
1578481030.214892 0.304432 -0.054937 0.672748 0.010379 -0.046064 -0.083581 0.995382
1578481030.315765 0.363354 -0.056880 0.633321 0.009007 -0.047160 -0.080490 0.995598
1578481030.416638 0.401955 -0.077558 0.538503 0.002502 -0.012545 -0.083667 0.996412
1578481030.517512 0.426288 -0.079998 0.518149 0.001989 -0.006266 -0.083558 0.996481
1578481030.618384 0.427770 -0.083240 0.506856 0.002121 -0.000507 -0.082139 0.996618
1578481030.719257 0.404828 -0.079862 0.503187 0.000709 0.003548 -0.078979 0.996870
1578481030.820129 0.368242 -0.061373 0.494955 0.001029 0.004962 -0.066746 0.997757
1578481030.921002 0.299626 -0.051134 0.486608 -0.000063 0.012428 -0.067409 0.997648
1578481031.021706 0.218773 -0.034774 0.499199 0.001151 0.011361 -0.072663 0.997291
1578481031.122578 0.132137 -0.013368 0.508544 0.017215 0.024730 -0.079178 0.996405
1578481031.223451 0.046946 0.014612 0.519043 0.025108 0.044092 -0.083201 0.995240
1578481031.324323 -0.027768 0.033092 0.533058 0.035847 0.055404 -0.084845 0.994207
1578481031.425197 -0.089874 0.054468 0.564957 0.032454 0.045405 -0.080141 0.995220
1578481031.526069 -0.130908 0.070043 0.612468 0.027957 0.045815 -0.072129 0.995950
1578481031.626941 -0.150155 0.075710 0.643340 0.032995 0.041694 -0.059021 0.996840
1578481031.727813 -0.147528 0.072548 0.697258 0.050276 0.036357 -0.054667 0.996575
1578481031.828685 -0.131537 0.053058 0.736996 0.065186 0.017037 -0.053360 0.996300
1578481031.929560 -0.108273 0.029252 0.790953 0.081864 0.014127 -0.055117 0.995018
1578481032.030268 -0.076932 -0.004450 0.833027 0.086619 -0.003343 -0.061792 0.994318
1578481032.131142 -0.044956 -0.048655 0.859777 0.088166 -0.014521 -0.080183 0.992767
1578481032.232017 -0.012599 -0.097443 0.871455 0.082314 -0.032696 -0.103758 0.990651
1578481032.332891 0.027743 -0.150864 0.859219 0.073193 -0.045302 -0.133118 0.987355
1578481032.433766 0.069133 -0.207567 0.841507 0.061283 -0.044493 -0.166207 0.983178
1578481032.534639 0.101341 -0.260708 0.787305 0.040138 -0.033701 -0.203302 0.977712
1578481032.635513 0.119997 -0.306917 0.767454 0.025078 -0.022401 -0.230879 0.972401
1578481032.736389 0.137286 -0.342194 0.749935 0.024437 -0.013223 -0.249110 0.968077
1578481032.837263 0.156108 -0.356987 0.594831 0.016452 0.022041 -0.260986 0.964951
1578481032.938137 0.152891 -0.352683 0.593748 0.005666 0.048017 -0.259314 0.964582
1578481033.038830 0.146131 -0.329378 0.583183 0.001235 0.065612 -0.241502 0.968179
1578481033.139704 0.137356 -0.283417 0.570383 -0.007251 0.089026 -0.216105 0.972276
1578481033.240578 0.144151 -0.222543 0.530802 -0.008828 0.109620 -0.185193 0.976529
1578481033.341451 0.132744 -0.146540 0.508253 -0.006089 0.137561 -0.145526 0.979726
1578481033.442324 0.112814 -0.069875 0.525242 -0.003292 0.142002 -0.099715 0.984826
1578481033.543197 0.090177 0.017503 0.526165 0.007563 0.136168 -0.034440 0.990058
1578481033.644070 0.049680 0.067711 0.585348 0.019852 0.117458 0.030841 0.992400
1578481033.744944 0.037316 0.132231 0.648810 0.025843 0.080692 0.077340 0.993398
1578481033.845817 0.004028 0.157942 0.680322 0.021401 0.036777 0.100810 0.993995
1578481033.946691 -0.018681 0.166432 0.752360 0.017400 -0.001158 0.100023 0.994832
1578481034.047390 -0.040972 0.144490 0.807747 0.022509 -0.024038 0.077391 0.996457
1578481034.148263 -0.057835 0.119631 0.837629 0.044155 -0.032453 0.053068 0.997086
1578481034.249138 -0.083220 0.064189 0.863611 0.063910 -0.035775 0.027862 0.996925
1578481034.350011 -0.078725 0.007414 0.897712 0.068373 -0.025407 -0.001898 0.997334
1578481034.450884 -0.102698 -0.042397 0.888070 0.077446 -0.018982 -0.039465 0.996034
1578481034.551757 -0.127629 -0.117207 0.867521 0.082983 0.001575 -0.086399 0.992797
1578481034.652630 -0.148778 -0.172515 0.815434 0.061793 0.002489 -0.125202 0.990202
1578481034.753503 -0.176824 -0.204575 0.736636 0.034854 0.008643 -0.164974 0.985644
1578481034.854375 -0.193980 -0.236843 0.738325 0.001874 0.035231 -0.188533 0.981433
1578481034.955249 -0.211233 -0.258499 0.707618 0.000242 0.045019 -0.194895 0.979790
1578481035.055950 -0.230076 -0.261421 0.672181 0.006323 0.070431 -0.192597 0.978727
1578481035.156824 -0.243371 -0.246096 0.622857 0.002165 0.103210 -0.176229 0.978921
1578481035.257697 -0.254496 -0.205290 0.585530 -0.006862 0.131930 -0.148832 0.979998
1578481035.358570 -0.247588 -0.160169 0.589541 0.000614 0.156337 -0.106431 0.981953
