#timestamp wx wy wz
1578481476.047500 0.018820 -0.011846 -0.001447
1578481476.050000 0.017649 -0.015998 0.001769
1578481476.052500 0.019491 -0.003305 -0.002991
1578481476.055000 0.016806 -0.008698 0.006755
1578481476.057500 0.014399 -0.004373 0.008242
1578481476.060000 0.015783 -0.002632 0.002962
1578481476.062500 0.008996 -0.001945 0.006036
1578481476.065000 0.007324 -0.005345 0.008574
1578481476.067500 0.008476 -0.004114 0.009328
1578481476.070000 0.000824 -0.004084 0.002761
1578481476.072500 0.000490 0.001487 -0.001965
1578481476.075000 -0.000505 0.002915 0.000650
1578481476.077500 -0.005604 0.005496 0.009948
1578481476.080000 -0.006843 0.009528 0.005779
1578481476.082500 -0.007866 0.012487 0.008640
1578481476.085000 -0.012311 0.012566 0.005201
1578481476.087500 -0.014465 0.012071 0.008234
1578481476.090000 -0.016147 0.017701 0.009412
1578481476.092500 -0.017139 0.018452 0.007297
1578481476.095000 -0.019959 0.017352 0.005047
1578481476.097500 -0.024176 0.014757 0.007199
1578481476.100000 -0.019158 0.021127 0.002442
1578481476.102500 -0.018296 0.021131 -0.000039
1578481476.105000 -0.018059 0.014271 -0.000353
1578481476.107500 -0.018992 0.014324 0.002193
1578481476.110000 -0.017639 0.018580 0.006555
1578481476.112500 -0.017935 0.017783 0.003755
1578481476.115000 -0.015201 0.012530 0.000036
1578481476.117500 -0.017421 0.004485 0.003065
1578481476.120000 -0.010931 0.011218 0.001420
1578481476.122500 -0.002277 0.006005 0.002579
1578481476.125000 -0.001934 0.000185 0.005193
1578481476.127500 0.002538 -0.002351 0.003901
1578481476.130000 0.007068 -0.000691 0.004044
1578481476.132500 0.012906 0.000724 0.001653
1578481476.135000 0.017039 -0.006908 0.008322
1578481476.137500 0.018315 -0.013967 0.010680
1578481476.140000 0.019771 -0.017054 0.007945
1578481476.142500 0.024480 -0.014162 0.011267
1578481476.145000 0.032160 -0.020120 0.014158
1578481476.147500 0.030924 -0.024140 0.015020
1578481476.150000 0.032967 -0.024652 0.021303
1578481476.152500 0.035617 -0.023967 0.018206
1578481476.155000 0.034901 -0.029550 0.024039
1578481476.157500 0.033580 -0.027394 0.030130
1578481476.160000 0.039347 -0.030805 0.027601
1578481476.162500 0.034256 -0.027899 0.034420
1578481476.165000 0.037618 -0.029831 0.037485
1578481476.167500 0.034906 -0.029826 0.038406
1578481476.170000 0.034457 -0.028409 0.039959
1578481476.172500 0.034446 -0.027855 0.040828
1578481476.175000 0.032616 -0.024499 0.037654
1578481476.177500 0.025706 -0.024858 0.037245
1578481476.180000 0.027163 -0.019360 0.038499
1578481476.182500 0.020555 -0.018419 0.037847
1578481476.185000 0.021212 -0.016759 0.041831
1578481476.187500 0.012110 -0.010617 0.039922
1578481476.190000 0.007722 -0.005674 0.045936
1578481476.192500 0.008072 -0.004311 0.044945
1578481476.195000 0.009173 -0.003506 0.043583
1578481476.197500 -0.000992 -0.003983 0.044030
1578481476.200000 0.001544 0.008243 0.049958
1578481476.202500 0.000106 0.009239 0.049149
1578481476.205000 -0.009318 0.013454 0.055942
1578481476.207500 -0.012453 0.013018 0.059906
1578481476.210000 -0.012940 0.020194 0.058852
1578481476.212500 -0.018203 0.017852 0.060128
1578481476.215000 -0.015967 0.021309 0.063503
1578481476.217500 -0.020906 0.017980 0.063477
1578481476.220000 -0.020950 0.020869 0.069757
1578481476.222500 -0.023204 0.023101 0.069001
1578481476.225000 -0.026111 0.024588 0.072101
1578481476.227500 -0.024988 0.028041 0.076464
1578481476.230000 -0.026022 0.026795 0.080869
1578481476.232500 -0.028409 0.025754 0.078869
1578481476.235000 -0.027646 0.024682 0.085962
1578481476.237500 -0.027554 0.026609 0.082794
1578481476.240000 -0.027345 0.024804 0.087455
1578481476.242500 -0.028943 0.028890 0.088637
1578481476.245000 -0.022139 0.024283 0.097558
1578481476.247500 -0.023703 0.021692 0.093947
1578481476.250000 -0.024369 0.020763 0.095622
1578481476.252500 -0.020576 0.022621 0.093223
1578481476.255000 -0.018066 0.015815 0.091675
1578481476.257500 -0.020432 0.013465 0.093281
1578481476.260000 -0.010969 0.014691 0.089289
1578481476.262500 -0.017701 0.015332 0.085028
1578481476.265000 -0.013806 0.006242 0.080071
1578481476.267500 -0.005446 0.003387 0.076187
1578481476.270000 -0.004098 0.003941 0.076197
1578481476.272500 -0.001159 0.004689 0.068876
1578481476.275000 -0.005591 0.000693 0.061893
1578481476.277500 0.003718 0.000007 0.055711
1578481476.280000 0.005384 -0.004874 0.051676
1578481476.282500 0.006498 0.002989 0.047217
1578481476.285000 0.014566 -0.001155 0.037740
1578481476.287500 0.008464 -0.001627 0.034538
1578481476.290000 0.013898 -0.002679 0.030085
1578481476.292500 0.013705 -0.010337 0.025471
1578481476.295000 0.017026 -0.009476 0.023748
1578481476.297500 0.014167 -0.012672 0.015458
1578481476.300000 0.013486 -0.008336 0.012970
1578481476.302500 0.017944 -0.014274 0.009818
1578481476.305000 0.015961 -0.013512 0.004025
1578481476.307500 0.021666 -0.011742 0.006664
1578481476.310000 0.020114 -0.015439 0.001989
1578481476.312500 0.029513 -0.017497 -0.000523
1578481476.315000 0.032347 -0.017256 0.000672
1578481476.317500 0.026564 -0.026566 -0.005087
1578481476.320000 0.029026 -0.022441 -0.000660
1578481476.322500 0.030549 -0.020956 -0.001706
1578481476.325000 0.033017 -0.024253 0.004774
1578481476.327500 0.031632 -0.030358 0.001031
1578481476.330000 0.034986 -0.032474 0.004280
1578481476.332500 0.038965 -0.030878 0.001501
1578481476.335000 0.039348 -0.039776 -0.002421
1578481476.337500 0.043844 -0.035763 -0.002581
1578481476.340000 0.042267 -0.041883 -0.002785
1578481476.342500 0.049208 -0.035781 0.000799
1578481476.345000 0.046855 -0.031503 -0.002941
1578481476.347500 0.045908 -0.033607 -0.000401
1578481476.350000 0.042680 -0.033040 -0.003900
1578481476.352500 0.043900 -0.024262 -0.004692
1578481476.355000 0.042020 -0.018081 -0.003202
1578481476.357500 0.033946 -0.014600 -0.006416
1578481476.360000 0.031689 -0.008528 -0.010538
1578481476.362500 0.019710 -0.002930 -0.010167
1578481476.365000 0.011370 0.002886 0.002791
1578481476.367500 0.004688 0.008850 0.002016
1578481476.370000 -0.004999 0.009905 0.007513
1578481476.372500 -0.012219 0.014915 0.009976
1578481476.375000 -0.027560 0.015321 0.007550
1578481476.377500 -0.033440 0.012305 0.006032
1578481476.380000 -0.042289 0.009240 -0.000979
1578481476.382500 -0.042740 0.014503 -0.003277
1578481476.385000 -0.044435 0.020380 -0.004463
1578481476.387500 -0.043222 0.013262 -0.004283
1578481476.390000 -0.049070 0.025068 0.002539
1578481476.392500 -0.042036 0.029132 0.002518
1578481476.395000 -0.038518 0.037523 0.010134
1578481476.397500 -0.039898 0.038706 0.007458
1578481476.400000 -0.037359 0.041625 0.000946
1578481476.402500 -0.033203 0.044888 0.007187
1578481476.405000 -0.027385 0.048159 0.006783
1578481476.407500 -0.031295 0.049846 0.003098
1578481476.410000 -0.029956 0.046876 0.004467
